shape,repeat,mode,mean_step_ms,mean_wait_ms,mean_moved_MiB,mean_late_unpacks,mean_forward_overlap_ms,batch,sequence
large,0,async,172.10206635,46.31436515,134.15625,1,56.5421999,8,512
large,0,direct,88.1922191,0.0,0.0,0,0.0,8,512
large,0,dram,107.25570865,0.0,0.0,0,0.0,8,512
large,0,sync,181.5401942,85.343048,134.15625,0,0.0,8,512
large,1,async,176.3411245,45.5488941,134.15625,1,56.7672774,8,512
large,1,direct,90.416319,0.0,0.0,0,0.0,8,512
large,1,dram,114.9277241,0.0,0.0,0,0.0,8,512
large,1,sync,182.42021785,85.5900519,134.15625,0,0.0,8,512
large,2,async,176.29323405,45.4170279,134.15625,1,57.98873395,8,512
large,2,direct,92.93738945,0.0,0.0,0,0.0,8,512
large,2,dram,114.68829325,0.0,0.0,0,0.0,8,512
large,2,sync,179.04631595,84.10431265,134.15625,0,0.0,8,512
large,3,async,175.04125325,45.62465315,134.15625,1,56.5732126,8,512
large,3,direct,90.3360899,0.0,0.0,0,0.0,8,512
large,3,dram,117.04364545,0.0,0.0,0,0.0,8,512
large,3,sync,179.6891263,86.86202564999999,134.15625,0,0.0,8,512
large,4,async,170.7115705,48.080915,134.15625,1,52.02850275,8,512
large,4,direct,90.38394545,0.0,0.0,0,0.0,8,512
large,4,dram,112.74111045,0.0,0.0,0,0.0,8,512
large,4,sync,185.5421516,86.9132405,134.15625,0,0.0,8,512
small,0,async,18.0482614,1.6156898499999999,10.7890625,1,8.64974265,4,128
small,0,direct,13.03195395,0.0,0.0,0,0.0,4,128
small,0,dram,13.25380515,0.0,0.0,0,0.0,4,128
small,0,sync,20.1696866,7.0429482,10.7890625,0,0.0,4,128
small,1,async,17.8888653,1.5020956,10.7890625,1,8.70186165,4,128
small,1,direct,11.63465035,0.0,0.0,0,0.0,4,128
small,1,dram,13.6944986,0.0,0.0,0,0.0,4,128
small,1,sync,20.37017175,7.3914207,10.7890625,0,0.0,4,128
small,2,async,16.43906255,1.54740015,10.7890625,1,7.9441837,4,128
small,2,direct,9.01343305,0.0,0.0,0,0.0,4,128
small,2,dram,13.27261105,0.0,0.0,0,0.0,4,128
small,2,sync,19.1515776,6.90767045,10.7890625,0,0.0,4,128
small,3,async,17.7665097,1.55905655,10.7890625,1,8.7003623,4,128
small,3,direct,9.0007799,0.0,0.0,0,0.0,4,128
small,3,dram,13.0362106,0.0,0.0,0,0.0,4,128
small,3,sync,18.34452365,6.47096615,10.7890625,0,0.0,4,128
small,4,async,18.104607,1.5051705,10.7890625,1,8.652701,4,128
small,4,direct,9.40594805,0.0,0.0,0,0.0,4,128
small,4,dram,12.71597235,0.0,0.0,0,0.0,4,128
small,4,sync,18.007416,6.3467274,10.7890625,0,0.0,4,128
