target,rep,samples,sampled_steps,before_first_unpack,after_first_unpack,mean_sample_weight,mean_sample_context_aol,samples_per_measured_step,covered_step_fraction,managed_bytes,mean_pack_to_unpack_ms,first20_release_complete,invalid_matched_intervals,other_matched_samples
10,0,664,372,0,664,918.7289156626506,163.04448188549003,1.328,0.744,1048576,10.873317978,True,0,9275
10,1,616,360,0,616,875.1948051948052,161.38556656201987,1.232,0.72,1048576,10.745579656,True,0,9357
10,2,636,367,0,636,973.12893081761,167.03277542648507,1.272,0.734,1048576,10.99463945,True,0,9428
16,0,41,41,0,41,332.0731707317073,161.63651549728948,0.082,0.082,262144,9.405240886,True,0,9831
16,1,40,37,0,40,547.675,167.4481853058676,0.08,0.074,262144,9.621360458,True,0,9936
16,2,48,45,0,48,674.5,156.78033288883992,0.096,0.09,262144,9.550362576,True,0,9832
2,0,47,43,0,47,482.0851063829787,166.4347705458861,0.094,0.086,262144,13.059025794,True,0,9952
2,1,49,45,0,49,733,163.87542957180327,0.098,0.09,262144,12.94172432,True,0,9811
2,2,32,32,0,32,636.6875,166.12814222236744,0.064,0.064,262144,13.07249635,True,0,9919
20,0,741,402,0,741,859.0971659919028,160.11314161650395,1.482,0.804,262144,8.671163585999999,True,0,9291
20,1,747,398,0,747,965.9410977242303,163.06647550160355,1.494,0.796,262144,9.001872516,True,0,9109
20,2,751,406,0,751,926.8189081225033,164.59349490018712,1.502,0.812,262144,9.180950118,True,0,9134
22,0,189,169,0,189,723.4867724867725,156.76471482357027,0.378,0.338,1048576,8.19507568,True,0,9747
22,1,193,167,0,193,742.5544041450777,166.79299326979603,0.386,0.334,1048576,8.423797082,True,0,9795
22,2,188,156,0,188,716.436170212766,164.72689868293114,0.376,0.312,1048576,8.48103692,True,0,9836
6,0,747,407,0,747,1011.90093708166,165.2788698415876,1.494,0.814,262144,12.543213624,True,0,9155
6,1,748,400,0,748,987.6684491978609,164.90760287989937,1.496,0.8,262144,12.403458606000001,True,0,9333
6,2,745,410,0,745,1027.0496644295301,160.76102394614614,1.49,0.82,262144,12.54737491,True,0,9295
