target,rep,mode,step_ms,wait_ms,moved_MiB,late,forward_ms,backward_ms
10,0,direct,13.010454,0.0,0.0,0,6.7902085,5.52652095
10,0,ranked,13.85930215,0.01429835,1.0,0,7.2613185,5.8771975
10,0,sync,14.066012050000001,0.8238532,1.0,0,6.7770577,6.56843925
10,1,direct,12.992367849999999,0.0,0.0,0,6.6089865,5.6832905
10,1,ranked,13.43200085,0.0152501,1.0,0,7.0708733,5.64776745
10,1,sync,14.285691199999999,0.819355,1.0,0,6.86329365,6.7184852
10,2,direct,13.124574050000001,0.0,0.0,0,6.84383545,5.55693875
10,2,ranked,13.44785475,0.01431625,1.0,0,6.89966955,5.839206
10,2,sync,14.21277875,0.8278947,1.0,0,6.9108626,6.58423485
10,3,direct,13.030315199999999,0.0,0.0,0,6.847301099999999,5.47126345
10,3,ranked,13.84937475,0.01436605,1.0,0,7.24272885,5.8939412
10,3,sync,14.1662253,0.8202703499999999,1.0,0,6.7955713499999995,6.6251419
10,4,direct,13.1844254,0.0,0.0,0,6.833054,5.62277985
10,4,ranked,13.852523,0.01496055,1.0,0,7.338136349999999,5.8089512999999995
10,4,sync,13.82184215,0.8029904,1.0,0,6.645336,6.46844675
16,0,direct,13.177565699999999,0.0,0.0,0,6.858136849999999,5.63117235
16,0,ranked,13.51705185,0.0148424,0.25,0,7.13917375,5.6778378499999995
16,0,sync,13.778352949999999,0.30823079999999997,0.25,0,7.09686725,5.9970742
16,1,direct,13.214261800000001,0.0,0.0,0,6.8109897,5.6821475999999995
16,1,ranked,13.67343965,0.01628265,0.25,0,7.1924898,5.763621349999999
16,1,sync,13.548297,0.30891565000000004,0.25,0,6.767268400000001,6.06080955
16,2,direct,13.15725205,0.0,0.0,0,6.7176252000000005,5.7634474
16,2,ranked,13.434522699999999,0.0150791,0.25,0,6.99942,5.73374005
16,2,sync,13.772365050000001,0.3217678,0.25,0,7.04355155,6.0075119500000005
16,3,direct,13.21050175,0.0,0.0,0,6.8941457999999995,5.6118297
16,3,ranked,13.74584005,0.014964950000000001,0.25,0,7.28937475,5.74751365
16,3,sync,13.808450650000001,0.31354715,0.25,0,6.904222,6.1836120999999995
16,4,direct,13.38367275,0.0,0.0,0,6.92919285,5.767633849999999
16,4,ranked,13.758529699999999,0.01569835,0.25,0,7.2500092,5.7773525
16,4,sync,13.1960906,0.31378065000000005,0.25,0,6.7579690999999995,5.739147
2,0,direct,13.178636050000001,0.0,0.0,0,6.9251385,5.5662601
2,0,ranked,13.38694115,0.01722345,0.25,0,7.0604499,5.617130700000001
2,0,sync,13.44005975,0.3081543,0.25,0,6.8109065499999994,5.9425751
2,1,direct,13.0487247,0.0,0.0,0,6.7556955,5.601344849999999
2,1,ranked,13.43821275,0.0169404,0.25,0,7.050202349999999,5.668949349999999
2,1,sync,13.42945265,0.31047955,0.25,0,6.8622637,5.87058155
2,2,direct,13.4007129,0.0,0.0,0,7.03330535,5.66311885
2,2,ranked,14.1139074,0.01601405,0.25,0,7.3754417000000005,6.0219628499999995
2,2,sync,13.2690003,0.305101,0.25,0,6.82848655,5.77338125
2,3,direct,13.528765,0.0,0.0,0,7.0380617,5.77546685
2,3,ranked,13.7861055,0.0154175,0.25,0,7.1946338,5.88330025
2,3,sync,13.64239425,0.3155283,0.25,0,6.90968,6.018191
2,4,direct,13.726523449999998,0.0,0.0,0,7.186095,5.84282625
2,4,ranked,13.5044885,0.01543815,0.25,0,7.1633144,5.6316843
2,4,sync,12.9816975,0.31402595,0.25,0,6.53990225,5.7491482000000005
20,0,direct,12.8302754,0.0,0.0,0,6.6356258,5.4874564
20,0,ranked,13.58785965,0.017048599999999997,0.25,0,7.28342705,5.57005735
20,0,sync,13.401657949999999,0.32052795,0.25,0,6.7872751,5.894576
20,1,direct,13.06664545,0.0,0.0,0,6.77079475,5.5937907000000004
20,1,ranked,14.10900135,0.015596700000000002,0.25,0,7.58786945,5.79210725
20,1,sync,13.82460335,0.45734620000000004,0.25,0,6.90702185,6.2226646500000005
20,2,direct,12.78639765,0.0,0.0,0,6.6583049,5.421652
20,2,ranked,13.5502999,0.0167608,0.25,0,7.120098349999999,5.691227
20,2,sync,13.62218305,0.31288879999999997,0.25,0,6.914032349999999,5.999503150000001
20,3,direct,13.38218375,0.0,0.0,0,7.05194555,5.6222251
20,3,ranked,13.872798300000001,0.01552115,0.25,0,7.327247900000001,5.84105525
20,3,sync,13.29919335,0.29832815,0.25,0,6.69393695,5.89033585
20,4,direct,13.5967228,0.0,0.0,0,7.034807450000001,5.8011931500000005
